"Plass","Lag","SPILT","VUNNET","UAVGJORT","TAP","+","-","+/-","POENG"
"1","Sotra","3","2","1","0","8","1","7","7"
"2","Sandnes Ulf","3","2","1","0","8","5","3","7"
"3","Brann 2","3","2","0","1","10","9","1","6"
"4","Sandviken","3","2","0","1","5","4","1","6"
"5","Notodden","3","1","2","0","4","3","1","5"
"6","Træff","3","1","1","1","5","5","0","4"
"7","FK Eik Tønsberg 871","3","1","1","1","4","4","0","4"
"8","Jerv","3","1","1","1","4","4","0","4"
"9","Lysekloster","3","1","1","1","4","4","0","4"
"10","Arendal","3","0","3","0","5","5","0","3"
"11","Brattvåg","3","1","0","2","5","6","-1","3"
"12","Pors","3","0","2","1","3","4","-1","2"
"13","Fløy-Flekkerøy","3","0","1","2","2","9","-7","1"
"14","Vard Haugesund","3","0","0","3","2","6","-4","0"